Data,Cena zakupu,Cena sprzedaży,Zysk
2020-02-06,4.23133,4.25883,27.417499999999563
2020-03-06,4.29107,4.30123,10.058399999999892
2020-03-10,4.32494,4.30815,-16.52135999999973
2020-03-31,4.3268,4.55781,226.38979999999992
2020-05-20,4.5452,4.53614,-8.905980000001364
2020-07-10,4.44553,4.4654,19.92961000000014
2020-07-15,4.49274,4.4765,-16.191280000000916
2020-07-20,4.48427,4.45727,-26.86500000000069
2020-10-01,4.41474,4.4807,66.28979999999956
2020-11-03,4.54717,4.54418,-2.9601000000002387
2020-12-16,4.46447,4.43829,-26.389439999999922
2021-01-08,4.47264,4.50942,36.779999999999745
2021-03-22,4.49418,4.59695,103.07830999999896
2021-03-31,4.67263,4.63237,-39.736619999999675
2021-05-13,4.56246,4.52837,-34.15817999999945
2021-06-28,4.46612,4.50163,36.078160000000025
2021-07-29,4.54606,4.57005,24.13394000000062
2021-08-30,4.58374,4.55998,-23.831279999999424
2021-10-01,4.54376,4.57748,33.95604000000094
2021-11-05,4.60004,4.59775,-2.294579999999769
2021-11-30,4.63659,4.66035,23.59368000000086
2021-12-30,4.63197,4.59711,-34.82513999999992
2022-02-08,4.52572,4.52579,0.07105000000046857
2022-03-14,4.54763,4.73871,192.9908000000005
2022-05-11,4.6313,4.67213,42.21821999999975
2022-06-30,4.58502,4.70085,121.9689899999994
2022-07-18,4.77631,4.78932,13.491370000000643
2022-09-02,4.70384,4.72073,17.835839999999735
2022-09-26,4.7266,4.75716,32.21023999999943
